screening_sequence,batch_checkpoint,covidence_number,title,first_author,publication_year,publication_language,abstract_available_yes_no,decision_yes_maybe_no,primary_reason_code,evidence_supporting_decision,concise_private_rationale,confidence_high_medium_low,record_type,protocol_or_results,actual_clinical_results_reported_yes_no_unclear,outcomes_planned_only_yes_no_not_applicable,general_anaesthesia_yes_no_unclear,randomized_yes_no_unclear,active_comparator_type,common_background_care_balanced_yes_no_unclear,ERAS_identical_between_groups_yes_no_not_applicable_unclear,intervention_effect_separable_yes_no_unclear,timing_eligible_yes_no_unclear,timing_description,surrogate_only_yes_no_unclear,translation_required_yes_no,possible_companion_report_yes_no,vote_registered_yes_no,post_vote_timestamp,interface_issue,notes
85,100,378,Tibial nerve stimulation increases vaginal blood perfusion and bone mineral density and yield load in ovariectomized rat menopause model.,Xu,2022,English,yes,No,EXCLUDE_ANIMAL,The experiment used ovariectomized female Sprague-Dawley rats and percutaneous tibial nerve stimulation.,Animal experiment; no eligible adult surgical population.,high,journal_article,results,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,no,no,yes,2026-07-23T15:38:44.520Z,none,DOI 10.1007/s00192-022-05125-5; intervention was PTNS rather than eligible perioperative TEAS or needle EA.
86,100,380,"Efficacy and safety of long-term transcutaneous electroacupuncture versus sham transcutaneous electroacupuncture for delayed gastric emptying after distal gastrectomy: study protocol for a randomized, patient-assessor blinded, controlled trial.",Chen,2022,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,"The title and abstract explicitly identify a study protocol, use future tense, and report no randomized clinical results.",Protocol only; no clinical results are reported.,high,protocol,protocol,no,yes,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,no,no,yes,2026-07-23T15:39:16.026Z,none,"DOI 10.1186/s13063-022-06108-z; ChiCTR2000033965; long-term treatment for established delayed gastric emptying may also begin outside the timing window, but publication type already excludes the record."
87,100,381,Preoperative electroacupuncture for postoperative nausea and vomiting in laparoscopic gynecological surgery: a randomized controlled trial.,Zhu,2022,English,yes,Yes,INCLUDE_CLEAR,"Randomized four-arm trial comparing EA the day before surgery, 30 minutes before surgery, both timings, or usual care alone in laparoscopic gynecological surgery; reports PONV, pain, rescue antiemetics, and quality of recovery.","Clear preoperative EA RCT with eligible timing, supportive usual-care comparison, and postoperative clinical outcomes.",high,journal_article,results,yes,no,yes,yes,usual_care,yes,not_applicable,yes,yes,"EA was delivered the day before surgery, 30 minutes before surgery, or at both time points.",no,no,no,yes,2026-07-23T15:39:45.448Z,none,DOI 10.1177/09645284221076517; ChiCTR-INR-16010035; laparoscopic gynecological surgery ordinarily requires general anaesthesia.
88,100,382,"Cerebral mechanism of opposing needling for managing acute pain after unilateral total knee arthroplasty: study protocol for a randomized, sham-controlled clinical trial.",Zhao,2022,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,"The title and abstract explicitly identify a study protocol, use future tense, and report no randomized clinical results.",Protocol only; no clinical results are reported.,high,protocol,protocol,no,yes,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,no,no,yes,2026-07-23T15:40:07.717Z,none,"DOI 10.1186/s13063-022-06066-6; ChiCTR2100042429; planned EA begins 72 hours after TKA, which would also fail the timing criterion."
89,100,385,[Postoperative ileus after laparotomy for gastrointestinal cancer treated with electroacupuncture: a randomized controlled trial].,He,2022,Chinese,yes,Maybe,UNCERTAIN_TIMING,"Randomized EA-plus-fast-track-care versus fast-track-care trial for postoperative ileus with bowel recovery, pain, and length-of-stay outcomes, but the abstract does not state when the first EA session began after surgery.",Treatment of established postoperative ileus may still have begun within 24 hours; full text is needed to verify first-session timing and general anaesthesia.,high,journal_article,results,yes,no,unclear,yes,usual_care_fast_track,yes,yes,yes,unclear,EA was delivered once daily until flatus and defecation; the first-session time after laparotomy is not reported.,no,yes,no,yes,2026-07-23T15:40:41.375Z,none,DOI 10.13703/j.0255-2930.20210125-0004; the intervention used EA at recognized acupoints within an acupuncture treatment session.
90,100,387,The effects of electroacupuncture and laser acupuncture therapy for patients with major trauma: A study protocol.,Liu,2021,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,"The title and abstract explicitly identify a study protocol, use future tense, and report no randomized clinical results.",Protocol only; no clinical results are reported.,high,protocol,protocol,no,yes,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,no,no,yes,2026-07-23T15:41:16.761Z,none,"DOI 10.1097/MD.0000000000028367; NCT04970433; major-trauma enrollment is not necessarily operative and the trial also includes laser acupuncture, but publication type already excludes it."
91,100,388,Electroacupuncture Alleviates Hyperalgesia by Regulating CB1 Receptor of Spinal Cord in Incisional Neck Pain Rats.,Wang,2021,English,yes,No,EXCLUDE_ANIMAL,The study used an incisional neck-pain rat model and measured spinal-cord receptor expression.,Animal experiment; no eligible adult surgical population.,high,journal_article,results,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,no,no,yes,2026-07-23T15:41:42.950Z,none,DOI 10.1155/2021/5880690.
92,100,391,[Electroacupuncture stimulation of the pudendal nerve for urinary incontinence after radical prostatectomy].,Yang,2020,Chinese,yes,No,EXCLUDE_INELIGIBLE_ACTIVE_COMPARATOR,"Pudendal-nerve EA was compared only with transrectal pelvic-floor biofeedback plus electrical stimulation, with no sham EA, usual-care, or no-stimulation arm; the 12-week treatment addressed established post-prostatectomy incontinence after a hospital visit.","Only an ineligible active electrical rehabilitation comparator was used, and treatment was not an acute perioperative intervention.",high,journal_article,results,yes,no,unclear,unclear,pelvic_floor_biofeedback_plus_electrical_stimulation,unclear,not_applicable,yes,no,"A 12-week conservative treatment course was initiated for established urinary incontinence after radical prostatectomy, not during the acute first 24 postoperative hours.",no,yes,no,yes,2026-07-23T15:42:22.273Z,none,"No DOI displayed; allocation was described according to time of hospital visit, making true randomization unclear."
93,100,393,[Transcutaneous electrical acupoint stimulation promotes general anesthesia recovery in patients undergoing gastrointestinal surgery].,Tian,2021,Chinese,yes,Yes,INCLUDE_CLEAR,"Randomized trial of immediate postoperative TEAS plus general anaesthesia versus general anaesthesia alone in gastrointestinal surgery; reports breathing recovery, extubation, pain, comfort, and adverse reactions.",Clear immediate-postoperative TEAS RCT under general anaesthesia with supportive usual-care comparison and clinical recovery outcomes.,high,journal_article,results,yes,no,yes,yes,usual_care_general_anaesthesia,yes,not_applicable,yes,yes,TEAS was delivered for 30 minutes immediately after surgery.,no,yes,no,yes,2026-07-23T15:42:49.641Z,none,DOI 10.13702/j.1000-0607.201152; English abstract available but full-text translation may be needed.
94,100,394,Transcutaneous electrical acupoint stimulation combined with electroacupuncture for rapid recovery of patients after laparotomy for gastrointestinal surgery: a study protocol for a randomised controlled trial.,Li,2021,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,"The title and abstract explicitly identify a prospective study protocol, use future tense, and report no randomized clinical results.",Protocol only; no clinical results are reported.,high,protocol,protocol,no,yes,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,no,yes,yes,2026-07-23T15:43:20.981Z,none,"DOI 10.1136/bmjopen-2021-053309; ChiCTR2100045646; the planned EA-only versus ERAS control arm would be separable, while the TEAS-plus-EA arm would not isolate TEAS."
95,100,395,Determination of the Minimum Infusion Rate of Alfaxalone Combined with Electroacupuncture in Goats.,Liu,2021,English,yes,No,EXCLUDE_ANIMAL,The experiment randomized 12 clinically healthy goats to alfaxalone alone or alfaxalone plus EA.,Animal experiment; no eligible adult surgical population.,high,journal_article,results,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,no,no,yes,2026-07-23T15:43:42.554Z,none,DOI 10.3390/ani11102989.
96,100,396,Efficacy of electroacupuncture in patients with failed back surgery syndrome: study protocol for a randomized controlled trial.,Sheng,2021,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,"The title and abstract explicitly identify a study protocol, use future tense, and report no randomized clinical results.",Protocol only; no clinical results are reported.,high,protocol,protocol,no,yes,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,no,no,yes,2026-07-23T15:44:01.975Z,none,DOI 10.1186/s13063-021-05652-4; ChiCTR2000040144; chronic failed-back-surgery syndrome treatment would also be outside the acute perioperative timing window.
97,100,397,"Effects of Transcutaneous Electrical Acupoint Stimulation on Stress Response during Intubation and Extubation in Patients Undergoing Video-Assisted Thoracoscopic Surgery: A Prospective, Randomized Controlled Trial.",Yu,2021,English,yes,Yes,INCLUDE_CLEAR,"Prospective randomized VATS trial comparing perioperative TEAS at recognized acupoints against no stimulation; TEAS began 30 minutes before anaesthesia and continued through surgery, with remifentanil use, recovery quality, and postoperative complications reported.",Clear perioperative TEAS RCT under general anaesthesia with supportive no-stimulation comparison and eligible clinical outcomes.,high,journal_article,results,yes,no,yes,yes,no_stimulation,yes,not_applicable,yes,yes,TEAS was delivered from 30 minutes before anaesthesia until the end of surgery.,no,no,no,yes,2026-07-23T15:44:30.444Z,none,"DOI 10.1155/2021/1098915; includes stress biomarkers but also clinical opioid, recovery, and complication outcomes."
98,100,398,Neuropathic Pain Creates Systemic Ultrastructural Changes in the Nervous System Corrected by Electroacupuncture but Not by Pregabalin.,Gao,2021,English,yes,No,EXCLUDE_ANIMAL,The experiment randomized 40 adult male Sprague-Dawley rats in a spared-nerve-injury model.,Animal experiment; no eligible adult surgical population.,high,journal_article,results,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,no,no,yes,2026-07-23T15:44:51.817Z,none,DOI 10.2147/JPR.S322964; EA began on postoperative day 14 in the animal model.
99,100,399,Electroacupuncture for postoperative ileus after laparoscopic surgery on colorectal cancer: study protocol for a randomized controlled trial.,Shao,2021,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,"The title and abstract explicitly identify a study protocol, use future tense, and report no randomized clinical results.",Protocol only; no clinical results are reported.,high,protocol,protocol,no,yes,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,no,yes,yes,2026-07-23T15:45:16.376Z,none,DOI 10.1186/s13063-021-05564-3; ChiCTR1900027466; protocol companion to Yang 2022 EClinicalMedicine results at Covidence #351.
100,100,400,Transcutaneous electrical acupoint stimulation applied in lower limbs decreases the incidence of paralytic ileus after colorectal surgery: A multicenter randomized controlled trial.,Gao,2021,English,yes,Maybe,UNCERTAIN_TIMING,"Large multicenter randomized sham-controlled TEAS trial after colorectal surgery with postoperative ileus and gastrointestinal recovery outcomes, but the abstract states only that four sessions were delivered and does not report when the first session began.",Otherwise eligible sham-controlled TEAS RCT; full text is needed to verify a session within the first 24 postoperative hours and general anaesthesia.,high,journal_article,results,yes,no,unclear,yes,sham_TEAS,yes,unclear,yes,unclear,"Four 30-minute TEAS sessions were given, but the first-session timing relative to surgery is not stated in the abstract.",no,no,no,yes,2026-07-23T15:45:46.074Z,none,"DOI 10.1016/j.surg.2021.08.007; clinical outcomes include ileus incidence, time to flatus/defecation/diet/bowel sounds; biomarker outcomes were secondary."
101,125,401,Comment on: Transcutaneous electrical acupoint stimulation before surgery reduces chronic pain after mastectomy: A randomized clinical trial.,Hu,2021,English,no,No,EXCLUDE_PUBLICATION_TYPE,"The title explicitly identifies the publication as a comment on another randomized trial, not an original clinical results report.",Commentary; no eligible original randomized clinical results.,high,commentary,neither,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,no,yes,yes,2026-07-23T15:50:59.423Z,none,DOI 10.1016/j.jclinane.2021.110501; companion commentary may identify a separate eligible mastectomy trial.
102,125,402,[Effect of transcutaneous electric acupoints stimulation on vascular endothelial function and inflammatory factors after percutaneous coronary intervention].,Zhao,2021,Chinese,yes,No,EXCLUDE_NON_SURGICAL,"The randomized TEAS trial was conducted around percutaneous coronary intervention, an interventional procedure rather than eligible operative surgery under general anaesthesia.",Non-operative PCI population; no eligible general-anaesthesia surgery.,high,journal_article,results,yes,no,no,yes,sham_TEAS,yes,not_applicable,yes,not_applicable,"TEAS began 30 minutes before PCI and continued through the procedure, but no eligible operative episode occurred.",yes,yes,no,yes,2026-07-23T15:51:21.772Z,none,DOI 10.13702/j.1000-0607.200784; outcomes were vascular function and inflammatory biomarkers only.
103,125,403,The Feasibility of Blinding Intraoperative Electro-Auricular Acupuncture Under Neuraxial Anesthesia.,Cheng,2021,English,yes,No,EXCLUDE_NO_GENERAL_ANAESTHESIA,All randomized ACL-reconstruction patients received spinal anaesthesia with intravenous sedation rather than general anaesthesia; the intervention was also explicitly electro-auricular acupuncture.,"Neuraxial anaesthesia without general anaesthesia, plus excluded auricular intervention.",high,journal_article,results,yes,no,no,yes,no_acupuncture,yes,not_applicable,no,yes,Electro-auricular acupuncture was delivered intraoperatively.,no,no,no,yes,2026-07-23T15:51:44.653Z,none,DOI 10.1089/acu.2021.0003; NCT03711734; auricular acupuncture is explicitly excluded even aside from anaesthetic technique.
104,125,404,Transcutaneous electrical acupoint stimulation for postoperative cognitive dysfunction in geriatric patients with gastrointestinal tumor: a randomized controlled trial.,Xi,2021,English,yes,Yes,INCLUDE_CLEAR,"Randomized sham-controlled TEAS trial during radical gastrointestinal tumor resection under general anaesthesia; stimulation began before induction and continued perioperatively, with postoperative cognitive dysfunction reported.",Clear sham-controlled perioperative TEAS RCT under general anaesthesia with eligible cognitive outcome.,high,journal_article,results,yes,no,yes,yes,sham_TEAS,yes,not_applicable,yes,yes,"TEAS began one day before surgery and again 30 minutes before induction through surgery, then continued on postoperative days 1–3.",no,no,no,yes,2026-07-23T15:52:07.483Z,none,DOI 10.1186/s13063-021-05534-9; NCT04606888.
105,125,405,[Clinical efficacy of adductor canal blockade combined with transcutaneous electrical acupoint stimulation for total knee arthroplasty].,Ge,2021,Chinese,yes,Maybe,UNCERTAIN_GENERAL_ANAESTHESIA,"Random-number-table trial of TEAS plus adductor canal block versus the same block alone after TKA, with pain, function, motion, and length-of-stay outcomes, but the anaesthetic technique is not stated and TEAS starts only on postoperative day 1.","TEAS effect is separable, but full text must verify general anaesthesia and that the first POD1 session occurred within 24 hours.",high,journal_article,results,yes,no,unclear,yes,usual_care_with_balanced_adductor_canal_block,yes,not_applicable,yes,unclear,TEAS was delivered on postoperative days 1–7; exact timing of the first POD1 session is not reported.,no,yes,no,yes,2026-07-23T15:52:38.701Z,none,DOI 10.12200/j.issn.1003-0034.2021.08.011.
106,125,406,Effects of Transcutaneous Electrical Acupoint Stimulation on Systemic Inflammatory Response Syndrome of Patients after Percutaneous Nephrolithotomy: A Randomized Controlled Trial.,Que,2021,English,yes,Yes,INCLUDE_CLEAR,"Randomized TEAS versus sham TEAS trial during percutaneous nephrolithotomy; stimulation continued through the procedure and outcomes included SIRS, opioid/anaesthetic consumption, PONV, emergence agitation, complications, and hospital stay.",Clear intraoperative sham-controlled TEAS RCT with general anaesthetic drugs and eligible postoperative clinical outcomes.,high,journal_article,results,yes,no,yes,yes,sham_TEAS,yes,not_applicable,yes,yes,TEAS or sham TEAS was performed continuously throughout PCNL.,no,no,no,yes,2026-07-23T15:52:58.903Z,none,DOI 10.1155/2021/5909956; propofol and remifentanil consumption support the general-anaesthesia context.
107,125,407,Electroacupuncture Pretreatment Ameliorates Anesthesia and Surgery-Induced Cognitive Dysfunction via Activation of an α7-nAChR Signal in Aged Rats.,Wang,2021,English,yes,No,EXCLUDE_ANIMAL,The experiment randomized aged male Sprague-Dawley rats undergoing tibial-fracture surgery.,Animal experiment; no eligible adult human surgical population.,high,journal_article,results,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,no,no,yes,2026-07-23T15:53:21.668Z,none,DOI 10.2147/NDT.S322047.
108,125,410,Efficacy of hysteroscopic cold knife separation on intrauterine adhesions.,Jin,2021,English,yes,No,EXCLUDE_WRONG_ELECTRICAL_INTERVENTION,"The control intervention described as hysteroscopic 'electroacupuncture' is an electrosurgical adhesiolysis instrument/technique and collecting ring, not electrical stimulation delivered through acupuncture needles at recognized acupoints.",Terminology false positive for hysteroscopic electrosurgery; no eligible TEAS or EA intervention.,high,journal_article,results,yes,no,unclear,yes,hysteroscopic_electrosurgery,unclear,not_applicable,no,not_applicable,No eligible acupoint stimulation occurred.,no,no,no,yes,2026-07-23T15:53:56.862Z,none,No DOI displayed; the trial compared cold-knife hysteroscopic separation with an electrosurgical hysteroscopic technique.
109,125,411,[Effect of electroacupuncture at Baliao points on intrauterine residue and uterine volume restoration after uterine curettage of incomplete abortion].,Su,2021,Chinese,yes,Maybe,UNCERTAIN_GENERAL_ANAESTHESIA,"Randomized EA-plus-mifepristone versus mifepristone-only trial after uterine curettage with bleeding and reoperation outcomes, but the curettage anaesthetic technique and the first EA session time are not stated.",Potentially eligible postoperative EA trial; full text is needed to verify general anaesthesia and initiation within 24 hours.,high,journal_article,results,yes,no,unclear,yes,usual_care_mifepristone,yes,not_applicable,yes,unclear,"EA was given after uterine curettage, but the interval from the procedure to the first session is not reported.",no,yes,no,yes,2026-07-23T15:54:27.085Z,none,DOI 10.13703/j.0255-2930.20200716-k0003; clinical outcomes included duration of bleeding and repeat operation.
110,125,412,"Correction to: Transcutaneous Electrical Acupoint Stimulation Combined with Dexamethasone and Tropisetron Prevents Postoperative Nausea and Vomiting in Female Patients Undergoing Laparoscopic Sleeve Gastrectomy: a Prospective, Randomized Controlled Trial.",Xiong,2021,English,no,No,EXCLUDE_PUBLICATION_TYPE,The title explicitly identifies this one-page item as a correction to another randomized trial report.,Correction notice; no standalone randomized clinical results.,high,correction,neither,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,no,yes,yes,2026-07-23T15:54:51.717Z,none,DOI 10.1007/s11695-021-05635-z; the corrected primary trial should be linked separately if present.
111,125,413,"A commentary on ""Transcutaneous electrical acupoint stimulation for preventing postoperative nausea and vomiting after general anesthesia: A meta-analysis of randomized controlled trials"" (Int J Surg 2020; 73:57-64).",Guo,2021,English,no,No,EXCLUDE_PUBLICATION_TYPE,"The title explicitly identifies the publication as a commentary on a meta-analysis, not an original randomized trial report.",Commentary; no eligible original randomized clinical results.,high,commentary,neither,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,no,no,yes,2026-07-23T15:55:11.083Z,none,DOI 10.1016/j.ijsu.2021.106033.
112,125,414,Transcutaneous electrical acupoint stimulation before surgery reduces chronic pain after mastectomy: A randomized clinical trial.,Lu,2021,English,yes,Yes,INCLUDE_CLEAR,"Multicenter randomized trial of single- or combined-acupoint TEAS versus electrode sham before radical mastectomy under general anaesthesia; reports remifentanil use, 24-hour PONV, and postoperative pain.",Clear preoperative sham-controlled TEAS RCT under general anaesthesia with eligible perioperative clinical outcomes.,high,journal_article,results,yes,no,yes,yes,sham_TEAS,yes,not_applicable,yes,yes,TEAS was applied for 30 minutes before anaesthesia induction.,no,no,yes,no,"",none,DOI 10.1016/j.jclinane.2021.110453; NCT02741726; primary report discussed by commentary at Covidence #401.
