assessment_id,study,outcome,window,comparison,population,d1,d2,d3,d4,d5,overall,provenance,source,human_signoff_date,result_id,d1_rationale,d2_rationale,d3_rationale,d4_rationale,d5_rationale,overall_rationale,reviewer,review_date,effect_of_interest,source_pdf,source_sha256,source_text,result_location
V38-V33-OD-0022,Zhu 2022,Postoperative vomiting,6-24 h postoperatively,EA 30 min before surgery vs Usual care alone,98.0/101.0,Some concerns,Some concerns,Low,Low,Some concerns,Some concerns,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-V33-OD-0022,USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted,V33-OD-0022,"Computer sequence in opaque envelopes, but patient envelope selection leaves sequence implementation concerns.",Usual-care participants unblinded; recovery care/reporting could differ.,"13/413 omitted; limited fraction; reported EM handling, but complete-case denominators used here.",Observable vomiting with common ascertainment; no evidence that knowledge of assignment materially altered measurement. Not equated to subjective nausea.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Residual concerns do not jointly establish likely material bias sufficient for High; do not mechanically count concerns.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,81b253dfbb68322da8383e775b391e0eb829702de456e01224fa82bf6b56bde0,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,Table 2
V38-V33-OD-0023,Zhu 2022,Postoperative nausea,6-24 h postoperatively,EA day before + 30 min before vs Usual care alone,100.0/101.0,Some concerns,Some concerns,Low,Some concerns,Some concerns,Some concerns,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-V33-OD-0023,USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted,V33-OD-0023,"Computer sequence in opaque envelopes, but patient envelope selection leaves sequence implementation concerns.",Usual-care participants unblinded; recovery care/reporting could differ.,"13/413 omitted; limited fraction; reported EM handling, but complete-case denominators used here.",Nausea/flatus self-reports potentially influenced by awareness; vomiting and clinician-masked dose separately rated.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Residual concerns do not jointly establish likely material bias sufficient for High; do not mechanically count concerns.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,81b253dfbb68322da8383e775b391e0eb829702de456e01224fa82bf6b56bde0,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,Table 2
V38-V33-OD-0024,Zhu 2022,Postoperative vomiting,6-24 h postoperatively,EA day before + 30 min before vs Usual care alone,100.0/101.0,Some concerns,Some concerns,Low,Low,Some concerns,Some concerns,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-V33-OD-0024,USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted,V33-OD-0024,"Computer sequence in opaque envelopes, but patient envelope selection leaves sequence implementation concerns.",Usual-care participants unblinded; recovery care/reporting could differ.,"13/413 omitted; limited fraction; reported EM handling, but complete-case denominators used here.",Observable vomiting with common ascertainment; no evidence that knowledge of assignment materially altered measurement. Not equated to subjective nausea.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Residual concerns do not jointly establish likely material bias sufficient for High; do not mechanically count concerns.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,81b253dfbb68322da8383e775b391e0eb829702de456e01224fa82bf6b56bde0,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,Table 2
V38-V33-OD-0027,Zhou 2025,PONV incidence,POD1,PACU TEAS vs Sham/no current,48.0/49.0,Low,Low,Low,Low,Some concerns,Some concerns,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-V33-OD-0027,USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted,V33-OD-0027,Computer sequence and sequential opaque sealed envelopes.,Patient and assessor masking with scripted practitioner interaction.,3/100 missing; little missing information and no documented differential outcome-related attrition.,Masked PONV and flatus collection.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Residual concerns do not jointly establish likely material bias sufficient for High; do not mechanically count concerns.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/105119.pdf,d9bf76bd7e244dd4513f686ee9be168122d8db4ced699a7f881f93237b3cb52b,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhou_2025.txt,"Table 4, p8"
V38-V33-OD-0028,Zhou 2025,Time to first flatus,Postoperative,PACU TEAS vs Sham/no current,48.0/49.0,Low,Low,Low,Low,Some concerns,Some concerns,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-V33-OD-0028,USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted,V33-OD-0028,Computer sequence and sequential opaque sealed envelopes.,Patient and assessor masking with scripted practitioner interaction.,3/100 missing; little missing information and no documented differential outcome-related attrition.,Masked PONV and flatus collection.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Residual concerns do not jointly establish likely material bias sufficient for High; do not mechanically count concerns.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/105119.pdf,d9bf76bd7e244dd4513f686ee9be168122d8db4ced699a7f881f93237b3cb52b,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhou_2025.txt,Postoperative recovery-time table
V38-V33-OD-0033,Zheng 2025,Any PONV,Within 24 h postoperatively,Perioperative TEAS vs Sham/no current,42.0/43.0,Low,Some concerns,Some concerns,Low,Some concerns,Some concerns,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-V33-OD-0033,USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted,V33-OD-0033,Seeded random allocation and sequential opaque envelopes. Equal 44/44 allocation is possible by chance and is NOT evidence of faulty randomization.,Anaesthetists not masked; possible dose/co-intervention differences.,"3/88 excluded for surgical changes/prolonged operation, potentially informative for GI recovery/dose.",Patient and outcome-assessor masking; continuous outcome-specific measurement problems handled below.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Residual concerns do not jointly establish likely material bias sufficient for High; do not mechanically count concerns.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/109499.pdf,a99722242c4b1800916d66613b5a0ed223a91f853e14ecce929740eb91dc466b,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zheng_2025.txt,Primary outcome / 24-h PONV result
V38-V33-OD-0034,Zheng 2025,Total intraoperative remifentanil consumption,Intraoperative,Perioperative TEAS vs Sham/no current,42.0/43.0,Low,Some concerns,Some concerns,High,Some concerns,High,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-V33-OD-0034,USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted,V33-OD-0034,Seeded random allocation and sequential opaque envelopes. Equal 44/44 allocation is possible by chance and is NOT evidence of faulty randomization.,Anaesthetists not masked; possible dose/co-intervention differences.,"3/88 excluded for surgical changes/prolonged operation, potentially informative for GI recovery/dose.",Unblinded anaesthetist determines remifentanil titration; likely influenced by allocation.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,High in at least one domain.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/109499.pdf,a99722242c4b1800916d66613b5a0ed223a91f853e14ecce929740eb91dc466b,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zheng_2025.txt,"Table 3, p9"
V38-V33-OD-0053,Yang 2024,Time to first flatus,Postoperative,Perioperative EA + usual care vs Usual care,90.0/90.0,Low,Some concerns,Low,High,Some concerns,High,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-V33-OD-0053,USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted,V33-OD-0053,Computer sequence and sequentially numbered opaque sealed envelopes.,Open participant treatment with masked outcome staff; recovery behaviour and laxative co-interventions require caution.,180 ITT participants with three withdrawals; little missing outcome information.,Patient-reported flatus/defecation likely influenced by awareness; 72h laxative rule particularly relevant to defecation. Symptom-specific ratings below.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,High in at least one domain.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/covidence_1930_full_article.pdf,6c2160c1111226035fb3a46cd41746f84d6f420d24c10b329cffcf82e1c8580f,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Yang_2024.txt,Table 2 / primary first-flatus outcome
V38-V33-OD-0054,Yang 2024,Time to first defecation,Postoperative,Perioperative EA + usual care vs Usual care,90.0/90.0,Low,Some concerns,Low,High,Some concerns,High,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-V33-OD-0054,USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted,V33-OD-0054,Computer sequence and sequentially numbered opaque sealed envelopes.,Open participant treatment with masked outcome staff; recovery behaviour and laxative co-interventions require caution.,180 ITT participants with three withdrawals; little missing outcome information.,Patient-reported flatus/defecation likely influenced by awareness; 72h laxative rule particularly relevant to defecation. Symptom-specific ratings below.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,High in at least one domain.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/covidence_1930_full_article.pdf,6c2160c1111226035fb3a46cd41746f84d6f420d24c10b329cffcf82e1c8580f,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Yang_2024.txt,Table 2 / primary first-defecation outcome
V38-V33-OD-0055,Yang 2024,Postoperative vomiting,0-24 h after surgery,Perioperative EA + usual care vs Usual care,90.0/90.0,Low,Some concerns,Low,Low,Some concerns,Some concerns,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-V33-OD-0055,USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted,V33-OD-0055,Computer sequence and sequentially numbered opaque sealed envelopes.,Open participant treatment with masked outcome staff; recovery behaviour and laxative co-interventions require caution.,180 ITT participants with three withdrawals; little missing outcome information.,Observable vomiting with common ascertainment; no evidence that knowledge of assignment materially altered measurement. Not equated to subjective nausea.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Residual concerns do not jointly establish likely material bias sufficient for High; do not mechanically count concerns.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/covidence_1930_full_article.pdf,6c2160c1111226035fb3a46cd41746f84d6f420d24c10b329cffcf82e1c8580f,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Yang_2024.txt,Secondary outcomes / PONV
V38-V33-OD-0056,Xiong 2021,Any PONV,Within 48 h,TEAS + dexamethasone + tropisetron vs Dexamethasone + tropisetron,31.0/31.0,Some concerns,Some concerns,Low,Some concerns,Some concerns,Some concerns,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-V33-OD-0056,USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted,V33-OD-0056,Computer sequence in sealed envelopes; opacity/sequential safeguards not fully documented.,Anaesthetists aware; co-intervention concerns despite masked postoperative resident.,"67 screened, five excluded BEFORE allocation; all 62 randomized analysed.",No-current sham and possible postoperative tingling; incomplete sensory masking for nausea-containing composite.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Residual concerns do not jointly establish likely material bias sufficient for High; do not mechanically count concerns.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/covidence_431_full_article.pdf,85f0cc1e5493db16e616ba5a77950207798546aa0ed9986773bbcefac9ca1d45,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Xiong_2021.txt,Abstract / 48-h PONV result
V38-V33-OD-0061,Xing 2022,Total remifentanil consumption,Intraoperative,TEAS + active TAPB vs Sham TEAS + active TAPB,29.0/29.0,Low,Low,Some concerns,Low,Some concerns,Some concerns,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-V33-OD-0061,USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted,V33-OD-0061,"Computer sequence, sealed allocation relayed by independent nurse.",Opaque shielding and masked clinicians; equal TAP intervention.,One loss per selected 30-patient arm; loss-to-follow-up explanation insufficient to exclude pain/recovery association.,Masked clinicians record dose; possible awake sensory unmasking affects subjective pain/flatus separately.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Residual concerns do not jointly establish likely material bias sufficient for High; do not mechanically count concerns.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/s40122-022-00429-2.pdf,ef7826ca61ea657ea56689464a863c5340af1703488c259420346131727062c3,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Xing_2022.txt,"Table 3, p10"
V38-V33-OD-0062,Xing 2022,Time to first flatus,Postoperative,TEAS + active TAPB vs Sham TEAS + active TAPB,29.0/29.0,Low,Low,Some concerns,Some concerns,Some concerns,Some concerns,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-V33-OD-0062,USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted,V33-OD-0062,"Computer sequence, sealed allocation relayed by independent nurse.",Opaque shielding and masked clinicians; equal TAP intervention.,One loss per selected 30-patient arm; loss-to-follow-up explanation insufficient to exclude pain/recovery association.,"Authors acknowledge possible sensory unmasking during awake pre-induction stimulation; subjective pain/flatus may be influenced, but likelihood insufficient for High.",Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Residual concerns do not jointly establish likely material bias sufficient for High; do not mechanically count concerns.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/s40122-022-00429-2.pdf,ef7826ca61ea657ea56689464a863c5340af1703488c259420346131727062c3,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Xing_2022.txt,Postoperative recovery results
V38-V33-OD-0064,Xing 2022,Rest pain VAS,24 h,TEAS + active TAPB vs Sham TEAS + active TAPB,29.0/29.0,Low,Low,Some concerns,Some concerns,Some concerns,Some concerns,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-V33-OD-0064,USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted,V33-OD-0064,"Computer sequence, sealed allocation relayed by independent nurse.",Opaque shielding and masked clinicians; equal TAP intervention.,One loss per selected 30-patient arm; loss-to-follow-up explanation insufficient to exclude pain/recovery association.,"Authors acknowledge possible sensory unmasking during awake pre-induction stimulation; subjective pain/flatus may be influenced, but likelihood insufficient for High.",Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Residual concerns do not jointly establish likely material bias sufficient for High; do not mechanically count concerns.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/s40122-022-00429-2.pdf,ef7826ca61ea657ea56689464a863c5340af1703488c259420346131727062c3,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Xing_2022.txt,24-h pain result
V38-V33-OD-0072,Wu 2022,Cumulative remifentanil,Intraoperative,Perioperative pTEAS vs No-current control,44.0/40.0,Some concerns,Low,Some concerns,Low,Some concerns,Some concerns,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-V33-OD-0072,USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted,V33-OD-0072,Computer sequence; concealment insufficiently documented.,Opaque shielding and masked clinical/research team.,"6/90 omitted (five controls, one active), including complications/incomplete data after intraoperative outcome was obtained.",Recorded remifentanil under clinician masking.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Residual concerns do not jointly establish likely material bias sufficient for High; do not mechanically count concerns.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/s12871-022-01875-3.pdf,bb3c8a4aedbf656c306082e2b889c37c04af8d614fb8e8f23b3d6da85e33d3aa,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Wu_2022.txt,Table 2 / cumulative remifentanil
V38-V33-OD-0078,Wu 2025,Remifentanil consumption,Intraoperative,PACU TEAS vs Sham/no current,50.0/50.0,Low,Low,Low,Low,Some concerns,Some concerns,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-V33-OD-0078,USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted,V33-OD-0078,Independent computer-generated randomization on PACU arrival.,Outcome occurred before randomization/treatment: no post-assignment deviations can affect it.,100/100 analysed.,Recorded pre-intervention intraoperative dose. This is NOT a causal efficacy outcome of subsequent PACU treatment; retained only as diagnostic.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Residual concerns do not jointly establish likely material bias sufficient for High; do not mechanically count concerns.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/103940.pdf,2fc3db1859c4af6dc85f9a357a2468eb54b002d2c7f87658c9113c207a8beb53,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Wu_2025.txt,Table 1 / remifentanil
V38-V33-OD-0082,Wang 2023,Time to first flatus,Postoperative,Nighttime TEAS vs Sham/no current,40.0/43.0,Low,Low,Some concerns,Low,Some concerns,Some concerns,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-V33-OD-0082,USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted,V33-OD-0082,Computer sequence and sequential opaque envelopes.,Broad patient and assessor masking.,5/88 protocol-breach exclusions rather than full ITT; recovery-related missingness cannot be ruled out.,Masked flatus report collection.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Residual concerns do not jointly establish likely material bias sufficient for High; do not mechanically count concerns.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/s40122-023-00493-2.pdf,9eae987a3d59d97843498faa079d7eac7ae430cae80d2971d356bb988714bd6c,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Wang_2023.txt,Table 1 / postoperative first flatus
V38-V33-OD-0112,Ntritsou 2014,Remifentanil consumption,Intraoperative,Perioperative EA + tramadol/ketamine vs Sham + tramadol/ketamine,35.0/35.0,Some concerns,Some concerns,Some concerns,High,Some concerns,High,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-V33-OD-0112,USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted,V33-OD-0112,Computer randomization; concealment controlled by department director but implementation insufficiently detailed.,Clinical staff aware; differential titration/co-intervention concerns.,5/75 excluded with insufficient reasons; missing clinician-titrated dose potentially informative.,Remifentanil is objective once delivered but dose is actively determined by an unblinded anaesthetist and likely influenced.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,High in at least one domain.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/covidence_729_full_article.pdf,f75d422117f1c9468f6bfaf215e0c43c38fd842380657e42e1508b6a9aa13242,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Ntritsou_2014.txt,Table 1 / remifentanil
V38-V33-OD-0115,Ng 2013,Time to first bowel motion / defecation,Postoperative,Electroacupuncture vs Sham acupuncture,55.0/55.0,Some concerns,Low,Low,Low,Some concerns,Some concerns,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-V33-OD-0115,USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted,V33-OD-0115,Random allocation using NON-opaque envelopes: concealment concern.,EA/sham participants masked; no-acupuncture arm handled separately.,All 165 participants retained.,Masked assessment and sham participant masking for selected sham contrasts.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Residual concerns do not jointly establish likely material bias sufficient for High; do not mechanically count concerns.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/covidence_1970_ng_2013.pdf,18ce931a2b3a17e4ba1f7b4f0ddfac5274721367802ebdcdf92d027afa51c781,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Ng_2013.txt,Primary outcome / first bowel motion
V38-V33-OD-0116,Ng 2013,Time to first bowel motion / defecation,Postoperative,Electroacupuncture vs No acupuncture,55.0/55.0,Some concerns,Some concerns,Low,Some concerns,Some concerns,Some concerns,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-V33-OD-0116,USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted,V33-OD-0116,Random allocation using NON-opaque envelopes: concealment concern.,"No-treatment comparator lacks participant masking; possible differential care, without automatic High rating merely for awareness.",All 165 participants retained.,No-acupuncture participants know assignment; bowel-motion reporting may be influenced despite masked assessor.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Residual concerns do not jointly establish likely material bias sufficient for High; do not mechanically count concerns.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/covidence_1970_ng_2013.pdf,18ce931a2b3a17e4ba1f7b4f0ddfac5274721367802ebdcdf92d027afa51c781,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Ng_2013.txt,Primary outcome / first bowel motion
V38-V33-OD-0117,Ng 2013,Time to first flatus,Postoperative,Electroacupuncture vs Sham acupuncture,55.0/55.0,Some concerns,Low,Low,Low,Some concerns,Some concerns,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-V33-OD-0117,USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted,V33-OD-0117,Random allocation using NON-opaque envelopes: concealment concern.,EA/sham participants masked; no-acupuncture arm handled separately.,All 165 participants retained.,Masked assessment and sham participant masking for selected sham contrasts.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Residual concerns do not jointly establish likely material bias sufficient for High; do not mechanically count concerns.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/covidence_1970_ng_2013.pdf,18ce931a2b3a17e4ba1f7b4f0ddfac5274721367802ebdcdf92d027afa51c781,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Ng_2013.txt,Secondary outcome / first flatus
V38-V33-OD-0128,Lu 2021,Total remifentanil,Intraoperative,Combined PC6+CV17 TEAS vs Sham/no current,190.0/188.0,Low,Low,Low,Low,Some concerns,Some concerns,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-V33-OD-0128,USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted,V33-OD-0128,Central web block randomization in multicentre trial.,Anaesthesia team masked with opaque shielding; standard titration and no demonstrated deviations.,576 intention-to-treat participants retained across the two active arms and shared control.,Objective intraoperative dose recorded by masked anaesthesia team; each active arm linked separately.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Residual concerns do not jointly establish likely material bias sufficient for High; do not mechanically count concerns.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/covidence_414_full_article.pdf,7f03819dbf9b4b292cfed8ba78be7233349e036cc4f9cb144cfa1e0db17094a7,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Lu_2021.txt,Table 3 / intraoperative remifentanil
