study,comparison_id,modality,comparator_text,comparator_category,n_intervention,n_comparator,outcome_reported,time_window,original_unit,reporting_format,value_intervention,variance_intervention,value_comparator,variance_comparator,exact_0_24h,transformation_required,assumptions_required,mme_conversion_factor,mme_factor_source,tier_mme,smd_eligible,eligible_main_S0,reason,v32_primary_eligibility,v32_analysis_readiness,v32_pipeline_inc_primary,v32_pipeline_inc_sens,source_qc_issue,verified_against_pdf,source_url
Wu 2016,WU16_TAES_vs_UC_OPIOID24,TEAS,No-TAES thoracotomy control,3_usual_care,27,27,Exact cumulative postoperative opioid/tramadol consumption,0-24 h,mg tramadol (IV rescue),Not reported,,,,,No,,,,no sourced IV MME factor located for tramadol,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,"Rescue analgesic demand was lower with true TAES vs no TAES, but exact 0-24-h tramadol dose/number of rescues is not reported.",not individually PDF-verified in this pass,https://drive.google.com/file/d/1CXkJN0GF45qOQtRcL7EbgmbypBrNnmri/view?usp=drivesdk
Gao 2022,GAO22_TEAS_vs_SHAM_SUFPUMP24,TEAS,No-current sham with identical electrode/device setup,1_sham_placebo,827,828,Cumulative postoperative sufentanil delivered by analgesic pump,0-24 h,µg sufentanil,Median/IQR,33,0–50,30,0–60,Yes,"None. Exact 0-24 h cumulative pump sufentanil, median (IQR).","None for the value itself. Mean/SD transformation (Wan/Luo) is NOT defensible here: the 25th percentile is exactly 0.0 in BOTH arms, so the distribution is zero-inflated and strongly non-normal, violating the normality assumption those estimators rely on.",1.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,C,No,No,"Exact clinical estimand IS reported. Reporting format (median/IQR) is incompatible with the mean-difference model, not the estimand. Enters S2 via a distribution-compatible method; must NOT be transformed to mean/SD.",Conditional,CONDITIONAL,,,Analgesic pump was individualized; 72.2% vs 71.0% received sufentanil pump. Preserve zeros and the reported median/IQR; do not infer mean/SD.,"pdf-2.pdf Table: '24 h analgesic pump, ug 33.0 (0.0, 50.0) vs 30.0 (0.0, 60.0) P=0.197'",https://drive.google.com/file/d/1_DV8ZFHIZwC_SnRMP3IokKfeEs6QzD0S/view?usp=drivesdk
Liu 2015,LIU15_TEAS_vs_SHAM_OPIOID24,TEAS,No-current sham TEAS with identical electrode placement/device setup,1_sham_placebo,44,44,Exact cumulative postoperative sufentanil PCIA consumption,0-24 h,µg sufentanil,Not reported,,,,,No,,,1.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE / DATA UNAVAILABLE,,,"PCIA: sufentanil 100 µg/50 mL, basal 1 mL/h, bolus 0.5 mL, 10-min lockout. Author/raw pump totals are required for the review primary outcome.",not individually PDF-verified in this pass,https://drive.google.com/file/d/1R0ueeZhpBPbKOmqRfRyFTsqp7qq7ftqp/view?usp=drivesdk
Oztas 2019,OZT19_TAES_vs_CTRL_TRAM24,TEAS,No electrical-stimulation intervention + standard PCA analgesia,3_usual_care,15,16,Cumulative IV PCA tramadol HCl consumption,0-24 h,mg tramadol,Mean/SD,228.4,87.89,357.81,123.7,Yes,None needed for mg tramadol. Absolute IV MME needs a tramadol conversion factor.,"No sourced parenteral tramadol:morphine ratio exists in the reference family used by this project (BC Ministry of Health and BC Renal tables omit tramadol and pethidine entirely; verified 2026-09-07). Separately, tramadol alone is not complete opioid exposure because IM rescue pethidine was also given.",,no sourced IV MME factor located for tramadol,E,"Yes (tramadol-only endpoint, native mg)",No,"Exact 0-24 h mean/SD in native units, but not convertible to IV MME with a sourced factor, and not complete opioid exposure. Overall RoB High.",Conditional,CONDITIONAL,,,Separate rescue pethidine prevents combined total-opioid SD reconstruction,covidence_505_full_article.pdf: 'Tramadol HCl (0-24 h) X+/-SD 257.68+/-65.55 | 228.40+/-87.89 | 357.81+/-123.70 .001'; 'Pethidine HCl (0-24 h) 33.75+/-56.55 | 20.66+/-27.89 | 33.12+/-42.69 .785',https://drive.google.com/file/d/1Zb2RyfK6pYLEOMyE6TOLMt9I0nxZYoYe/view?usp=drivesdk
Oztas 2019,OZT19_TAES_vs_TENS_TRAM24,TEAS,Incision-periphery TENS (2–100 Hz; max 12 mA; 30 min ×6),2_active_electrical,15,16,Cumulative IV PCA tramadol HCl consumption,0-24 h,mg tramadol,Mean/SD,228.4,87.89,257.68,65.55,Yes,,,,no sourced IV MME factor located for tramadol,E,Check,No,Mean/SD available but not convertible to absolute IV MME: no sourced IV MME factor located for tramadol.,No,CONDITIONAL,,,Three-arm correlated contrast + separate rescue pethidine,not individually PDF-verified in this pass,https://drive.google.com/file/d/1Zb2RyfK6pYLEOMyE6TOLMt9I0nxZYoYe/view?usp=drivesdk
Oztas 2019,OZT19_TAES_vs_CTRL_TOTALOP24,TEAS,No electrical-stimulation intervention + standard PCA analgesia,3_usual_care,15,16,Complete combined postoperative opioid exposure (tramadol + rescue pethidine),0-24 h,MME / combined opioid dose,Not calculable,,,,,Yes,Combined tramadol + pethidine total. Mean is additive after conversion; the SD is not.,"SD(total) = sqrt(SD_t^2 + SD_p^2) requires zero within-person covariance, which is unknown and cannot be assumed. Raw participant data unavailable.",,unit not mapped to a sourced conversion factor,E,No,No,Combined-total sampling variance is not recoverable. Excluded from all quantitative tiers.,No,EXCLUDE — DATA UNAVAILABLE,,,Combined all-opioid variance unavailable,"covidence_505_full_article.pdf, same table as above (components reported separately)",https://drive.google.com/file/d/1Zb2RyfK6pYLEOMyE6TOLMt9I0nxZYoYe/view?usp=drivesdk
Song 2020,SONG20_TEAS_vs_SHAM_PCAPRESS24,TEAS,Active nonacupoint electrical stimulation with matched timing/frequency,2_active_electrical,42,43,PCA pump press number,0-24 h,pump presses,Mean/SD,30.12,4.3,36.91,2.4,No,,,,unit not mapped to a sourced conversion factor,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,CONDITIONAL,,,15-min lockout; keep presses as behavioral/device-use measure.,not individually PDF-verified in this pass,https://drive.google.com/file/d/1qL50sUze8YDRs_oIXFWTbVUL5102qnw4/view?usp=drivesdk
Song 2020,SONG20_TEAS_vs_SHAM_BUTORPCA24_DERIVED,TEAS,Active nonacupoint electrical stimulation with matched timing/frequency,2_active_electrical,42,43,Nominal butorphanol PCA bolus component derived from reported presses,0-24 h,mg butorphanol,Derived mean/SD,2.4096,0.344,2.9528,0.192,Yes — derived,Reported outcome is 'total number of PCA pump presses'. Converting to drug mass requires presses == delivered boluses.,"TWO independent blockers. (1) Device semantics: the source records PRESSES and documents a 15-min lockout, so demands and deliveries can differ; the source never reports a delivered dose. (2) Even with resolved semantics, butorphanol has no sourced IV MME equivalence in this project's reference tables.",,no sourced IV MME factor located for butorphanol,E,No,No,"Assumption-dependent on both counts; excluded from the strict quantitative primary synthesis. Comparator is also an active electrical control, not sham.",No,CONDITIONAL,,,Device-semantics ambiguity + prespecified butorphanol conversion needed.,"getfile.php-6.pdf: '4 mg butorphanol and 2 g propacetamol in 100 mL saline, every pump press resulting in a 2 mL infusion, with a 15-min lockout interval'; 'Record the total number of PCA pump presses ... within 24 hours'; Table 3 30.12+/-4.3 vs 36.91+/-2.4",https://drive.google.com/file/d/1qL50sUze8YDRs_oIXFWTbVUL5102qnw4/view?usp=drivesdk
Szmit 2021,SZMIT21_TEAS_vs_SHAM_MORPH24,TEAS,Sham TEAS: identical devices/placement with no electrical stimulation + PCA,1_sham_placebo,24,24,Total IV PCA morphine dose,0-24 h,mg IV morphine,Mean/SD,7.5,3.8,15.2,6.24,Yes,unit x 1.0 mg IV MME,,1.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,A,Yes,Yes,"Exact 0-24 h cumulative endpoint, mean/SD, sourced absolute MME conversion.",Yes,INCLUDE IN PRIMARY,1,0,Three-arm RCT: retain TEAS-vs-control separately; source also reports median/IQR 8 (5–9) vs 15 (13–18).,not individually PDF-verified in this pass,https://drive.google.com/file/d/1SbgHRO4KEP9X0Unz75vDMFCvlkDTEgk3/view?usp=drivesdk
Szmit 2021,SZMIT21_TEAS_vs_CTRL_MORPH24,TEAS,PCA only / no TEAS,3_usual_care,24,23,Total IV PCA morphine dose,0-24 h,mg IV morphine,Mean/SD,7.5,3.8,15.5,6.1,Yes,unit x 1.0 mg IV MME,,1.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,A,Yes,Yes,"Exact 0-24 h cumulative endpoint, mean/SD, sourced absolute MME conversion.",No,CONDITIONAL — MULTI-ARM ALTERNATIVE COMPARATOR,,,Use as supportive/usual-care comparator or with a valid multi-arm method; do not count as a second independent study.,not individually PDF-verified in this pass,https://drive.google.com/file/d/1SbgHRO4KEP9X0Unz75vDMFCvlkDTEgk3/view?usp=drivesdk
Zhang 2018,ZHANG18_TEA_vs_SHAM_OPIOID24,EA,Active electrical stimulation at non-acupoints with the same stimulation method,2_active_electrical,21,21,Exact cumulative postoperative opioid consumption,0-24 h,opioid dose,Not reported,,,,,No,,,,unit not mapped to a sourced conversion factor,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,"Pain was assessed, but postoperative analgesic consumption is not reported.",not individually PDF-verified in this pass,https://drive.google.com/file/d/1ZcLvQiw1bigHUYQTjwWPa8f1D2UrkAwl/view?usp=drivesdk
